nombre,edad,calle,ciudad,provincia,cp,longitud,latitud
Gertrudis Borrás-Oller,62,C. Carolina Parra 82 Piso 1 ,Toledo,Ciudad,34748,-24.125886,-48.9106465
Piedad de Alfaro,28,Avenida de Marcelino Céspedes 452 Apt. 22 ,Zaragoza,Huesca,12332,-109.049160,61.5652315
Esperanza del Nicolás,60,Acceso de Emigdio Pineda 4 Piso 2 ,Huesca,Barcelona,26269,158.760326,56.3924065
Fidel Sanmiguel Falcón,41,Callejón Ariel Redondo 1 Apt. 18 ,Lugo,Girona,06735,-94.990965,70.375631
Sabas del Asensio,61,Via de Samu Oliveras 3 Piso 1 ,Toledo,Santa Cruz de Tenerife,13846,177.911465,61.305348
Adelina Roman Roselló,77,Cañada Quique Lamas 897 Apt. 19 ,Pontevedra,Valladolid,43142,-93.343682,-57.095723
Paola Taboada Vilar,72,Acceso de Rosario Zaragoza 29,Lugo,Santa Cruz de Tenerife,01910,2.887993,19.120197
Flavia Tecla Noriega Escolano,58,Vial de Marcio Vergara 46,Guadalajara,Ourense,17131,-30.566983,70.0994245
Benigna Gonzalo,70,Glorieta de Crescencia Barral 32 Apt. 50 ,Lleida,Valencia,43050,-98.574979,51.333483
Angelita de Aranda,21,Glorieta de Débora Iglesias 39,Girona,Albacete,04356,-11.231815,40.0793955
Berto Grau-Hernandez,37,Alameda de Itziar Taboada 99,Huelva,Guipúzcoa,32902,48.537001,-37.002519
Lorena Andrés-Solís,53,Urbanización de Pablo Bellido 8 Apt. 57 ,Barcelona,Barcelona,11074,-174.637727,58.9611865
Fabio Carlos Mendoza Hurtado,47,Pasaje Artemio Nadal 19 Piso 2 ,Huelva,Castellón,27687,-105.855346,-61.166375
Ale Cruz Barba,79,Pasaje Alondra Ledesma 26 Piso 2 ,Palencia,Melilla,25898,89.782963,45.6612025
José Ávila Rosselló,69,Calle de Soledad Arias 5,Guadalajara,Vizcaya,06459,8.807556,-68.6845855
Gregorio del Quirós,42,Callejón de Ámbar Solé 60 Puerta 4 ,Barcelona,Vizcaya,11298,-6.487871,75.331397
Roberta Santiago-Gisbert,28,Glorieta Angelita Dominguez 73 Piso 9 ,Vizcaya,Navarra,23349,-42.096808,-14.9608445
Ruy Pareja Moles,74,Pasaje de Ruy Goñi 16 Piso 4 ,Cádiz,Tarragona,37205,-137.238115,20.429488
Angelita Mata Franco,61,Glorieta Armando Higueras 71,Asturias,Vizcaya,51969,164.451043,3.0064665
Leticia Márquez-Gil,64,Ronda Estefanía Garriga 63 Apt. 08 ,Guadalajara,Murcia,13899,106.433944,-28.655534
Horacio Castañeda-Muñoz,40,Pasaje María Ávila 28 Apt. 94 ,Tarragona,Valencia,34742,176.439980,-41.5042695
Susana Pi Briones,59,Urbanización de Delia Sala 465,Girona,La Rioja,34794,122.403512,-85.1572225
Nuria Cazorla-Mármol,49,Pasaje Olegario Cano 54,Sevilla,Guadalajara,30449,139.858648,-41.8443805
Marisela Codina Méndez,33,C. de Asunción Feijoo 32,Baleares,Valencia,45215,117.545819,-14.7707385
Angelina Jessica Barragán Serra,31,Urbanización Gerónimo Valcárcel 912 Apt. 49 ,Huelva,La Coruña,16011,166.066783,72.3667965
Buenaventura Novoa Llanos,21,Cuesta de África Montalbán 11,Lugo,Cuenca,25415,-107.265471,-14.524059
Ligia Arce Ledesma,65,Vial Pánfilo Mayoral 198 Apt. 08 ,Lugo,Burgos,14205,-85.923708,64.7565755
Eva Antón,58,Plaza Ainoa Dalmau 99,Valladolid,Santa Cruz de Tenerife,22879,-72.655429,-46.2925395
Teófilo Company Guerra,49,Acceso Filomena Sabater 5 Puerta 9 ,Lugo,Cáceres,47496,87.560941,61.036826
Isabel Borrego,74,Calle de Jose Antonio Olmedo 45 Apt. 82 ,Soria,Ciudad,08932,-136.138855,60.9704135
Daniel Quintero Gordillo,66,Plaza de Susana Duran 3 Apt. 00 ,Pontevedra,Málaga,33677,123.404440,35.555899
Regina del Quero,55,Paseo Nico Cabrero 340 Apt. 78 ,Lugo,Barcelona,08763,19.629873,-62.871866
Wálter León Manjón,68,Pasaje de Antonio Bustamante 42,Santa Cruz de Tenerife,Albacete,01139,-162.420511,-25.8705205
Pacífica Aguado Vizcaíno,69,Paseo de Martín Jiménez 201,Salamanca,Vizcaya,11920,-87.105753,-28.502676
Sebastián Osuna Alemany,63,Plaza de Fernando Ibarra 21,Sevilla,Navarra,49686,-70.670648,29.8252065
Gregorio de Cuéllar,49,Ronda Saturnina Ortega 2,Valladolid,Málaga,18553,90.394779,-24.4756735
Magdalena Castro Porta,67,Acceso de Baldomero Conesa 66 Apt. 89 ,Vizcaya,Asturias,13287,-37.490274,-69.0200525
Iker Orozco Acevedo,53,Camino de Mar Caro 10,Baleares,Toledo,22200,-86.026549,-35.175531
Marina Jáuregui Royo,44,Cañada de Ana Sofía Aragón 70 Puerta 5 ,Guipúzcoa,Cuenca,12009,-6.215773,-33.9121465
Eloy Murcia Cánovas,43,Acceso Narcisa Saldaña 79 Puerta 4 ,Melilla,Asturias,42743,-4.493910,28.208489
Mercedes López,64,Vial Piedad Sales 22,Tarragona,Salamanca,04883,-6.521207,-21.2159605
Sara Torrens,68,Plaza Loreto Crespi 50,Girona,Zamora,42454,179.766148,-58.5157855
Irene Tudela Varela,42,Glorieta de Buenaventura Verdú 945 Puerta 8 ,Cáceres,Asturias,21969,33.624904,49.998437
Melchor Franco Bilbao,52,Glorieta de Norberto Rocamora 56 Piso 9 ,Barcelona,La Coruña,45437,50.525585,-36.725589
Olegario Villalba Espinosa,49,Acceso de Angelita Ramirez 35,Guadalajara,Baleares,09703,-179.506799,2.542753
Remigio Jerónimo Cuesta Cobos,60,C. de Leandro Salazar 79,Ciudad,Cuenca,29653,139.798938,3.6230375
Conrado Pozo,60,Glorieta Matías Garrido 799,Granada,Cuenca,05295,54.822703,-84.7828395
Serafina Fuster-Villegas,27,Vial de Victoria Díez 98,Zaragoza,Soria,21033,119.359952,13.216684
Antonia Bejarano Capdevila,22,Via Aránzazu Mascaró 71,Huelva,Murcia,32429,34.980468,38.058044
Ricarda Arias Pareja,55,Pasaje Fortunato Vallés 25,Albacete,Granada,27678,-148.211572,13.5837925
Carmen Martinez Amaya,65,Vial Héctor Tur 24,Valencia,Guipúzcoa,22307,47.695612,22.3907365
Albert Coca,41,Pasadizo Albina Mínguez 97,Álava,Cáceres,43412,13.899881,64.346621
Remigio Quiroga Garcés,44,Urbanización Espiridión Escamilla 58,Badajoz,Vizcaya,48650,-112.197313,18.8123495
Marcela Benavente,19,Acceso de Juan Antonio Plaza 65 Apt. 33 ,Almería,Navarra,18685,21.598592,-64.836876
Eva María Rico Francisco,75,Acceso Adalberto Barceló 62 Puerta 5 ,Guadalajara,Badajoz,44193,-27.811414,-24.480500
Pablo Arteaga Llorens,32,Camino Jerónimo Ugarte 61,Álava,Lleida,08266,-38.771278,-74.1329485
Paz Otero Pablo,26,Pasadizo de Cristian Blasco 8 Puerta 8 ,Ávila,Jaén,33819,48.764638,56.0853615
Duilio Blázquez Batalla,23,Calle Noa Ramis 87,Valladolid,Lugo,42444,159.306473,-30.604075
Nicolasa Llobet Ferrero,71,Acceso Virgilio Toro 8,Valladolid,Segovia,02734,177.019129,27.9317125
Trinidad Bonilla Clavero,57,Cañada Martin Morales 85,Ávila,Melilla,10270,20.689124,72.434788
Florina Llorente Salvador,35,C. de Miguel Ángel Azcona 836 Apt. 23 ,Salamanca,Ourense,27400,16.351678,-64.746424
Albina de Benitez,34,Pasaje Malena Ruiz 4 Puerta 1 ,Salamanca,La Rioja,50698,159.276312,-85.9074965
Xiomara Fiol Guitart,33,Cuesta Eligio Sastre 16,Huelva,Baleares,14865,87.163398,46.104506
Domingo Alemán Peinado,24,Pasaje María Gilabert 787,Soria,Tarragona,17812,126.737918,-20.7663625
Encarna Blazquez,18,Camino de Adrián Ojeda 42,Girona,Huesca,12204,159.104651,81.0879345
Victor Lobato Cánovas,30,Calle de Visitación Cerezo 32 Apt. 16 ,Guadalajara,Barcelona,24044,-103.004968,18.7564915
Sandalio Acedo Olivares,37,Urbanización de Abel Santana 98,Teruel,Ceuta,16632,-52.719683,-82.256271
Eulalia Alberdi Capdevila,42,Cuesta Trinidad Calderon 721 Apt. 58 ,Granada,Huesca,34918,-93.249684,89.324128
Calista Bárcena Moya,50,Acceso de Manuel Gordillo 60,Baleares,Badajoz,23993,121.802942,-21.699628
Fabián Frutos Carrasco,64,Plaza Amaro Galindo 32 Apt. 83 ,Pontevedra,Guadalajara,15381,-141.998004,-67.7498945
Adriana Catalá Mármol,62,Callejón de Lázaro Roselló 9 Puerta 3 ,León,Madrid,36879,-154.624760,-36.471488
Cintia Ferreras Navarrete,64,Urbanización Noemí Solé 80,Madrid,Álava,08602,141.463191,40.1181135
Olivia Agustí Fuentes,48,Glorieta Samu Pina 60 Apt. 07 ,Zaragoza,Lleida,38719,-151.978429,-52.659843
Amancio Cañellas Echevarría,38,Ronda Mauricio Morcillo 24,Las Palmas,León,18480,153.966665,58.7191225
Eloy Castellanos Carro,58,Calle de Juanito Escamilla 439 Apt. 41 ,Soria,Guipúzcoa,44107,27.723168,-84.2130535
Rosario Pedro Piñeiro,41,Rambla de Adelaida Muro 61,Girona,Ourense,47392,-178.023414,-28.8402595
Loreto Rozas Barroso,37,C. de Adora Noriega 1 Piso 3 ,Burgos,Salamanca,16782,-103.173828,-43.591419
Olimpia Fuentes-Alemán,37,Alameda de Galo Prado 43 Apt. 59 ,Córdoba,Albacete,20243,16.742252,-57.7362085
Amando Márquez-Martorell,75,Vial Ileana Bello 40 Apt. 79 ,Cáceres,Córdoba,46741,-166.889484,48.626846
Tatiana Escudero Losada,39,Paseo Yéssica Escolano 5 Apt. 56 ,Madrid,Lugo,39519,52.436666,-28.961964
Fabricio Codina Ferreras,36,Paseo Maximino Carrillo 967 Puerta 2 ,Madrid,Zamora,35139,-96.708154,-27.551716
Calixto Carrión Amaya,62,Urbanización de Pilar Naranjo 1 Apt. 34 ,Navarra,Huelva,46657,-64.622696,48.5507455
Ezequiel Agustí Manjón,55,Pasaje Dionisia Arce 76 Apt. 58 ,Álava,Salamanca,45149,-179.320167,-28.803104
Trini Borja-Iglesias,48,Calle de María Ángeles Saura 26,Girona,Salamanca,18305,-138.718304,47.3563575
Sandalio Patiño Leon,48,Acceso Rodrigo Montoya 12 Piso 5 ,Badajoz,La Rioja,25982,-15.821287,48.267449
Julián Herrera Cuadrado,49,Urbanización de Rosaura Tomás 4,Lleida,Toledo,22017,156.980612,56.536131
Micaela María Cristina Arrieta Montenegro,19,Acceso de María Belén Gallart 43,Baleares,Burgos,33517,137.646591,26.1149315
Albina Clotilde Segovia Villa,32,Urbanización de Yolanda Prado 21 Apt. 06 ,Albacete,Ceuta,36105,-5.280443,-3.083503
Jose Manuel del Arribas,54,Vial Yaiza Bou 26 Puerta 6 ,Santa Cruz de Tenerife,Cádiz,25127,81.880111,75.3961635
Melisa del Sarmiento,42,Via de Antonia Cases 67,Valladolid,Badajoz,03653,82.065047,-37.4774415
Dorotea Quiroga Tejera,39,Pasaje de Emma Perera 94 Puerta 7 ,Cáceres,Ciudad,21126,-131.330569,-88.6769715
Isidora Plana Uriarte,48,Acceso de Íngrid Sosa 814 Piso 1 ,Guipúzcoa,Málaga,27553,-99.595052,-53.341906
Jose Francisco Zabala Manjón,66,Pasadizo Dulce Fuente 43,Sevilla,León,07581,-121.268781,50.453948
Joel María Llano Pi,71,Glorieta de Dominga Ortiz 34 Piso 2 ,Murcia,Ávila,30137,69.172636,-18.127205
Eladio Guillén Olivera,45,C. Lisandro Gual 4,Castellón,Almería,14111,-118.705037,26.041649
Gilberto Perales Manzanares,60,Ronda de Araceli Blázquez 25,Jaén,Teruel,12475,101.466069,68.083441
Jose Ignacio Torrent Carbó,68,C. Micaela Pascual 3 Piso 8 ,Cádiz,Salamanca,32965,-102.905782,64.6988235
Felipe Mateu Márquez,59,Calle Alba Amorós 264,Zamora,Toledo,29690,-45.036201,40.577144
Fortunata Raquel Espada Almagro,37,Glorieta de Luz Gallardo 71,Navarra,Cuenca,16457,-67.115392,-38.1577255
Vanesa Contreras Morán,27,Plaza de Luciano Nieto 728 Puerta 5 ,Segovia,Navarra,40540,-74.284529,60.6329645
Luciano Amores Armengol,18,Paseo Cintia Catalán 62,Huesca,Alicante,30796,83.337977,82.896252
Adelardo Cano,24,Vial de Luisina Cabrera 6,Pontevedra,Badajoz,21742,-94.814858,66.938895
Evaristo Hernando Bustamante,34,Cañada Guiomar Batlle 9 Apt. 20 ,Lleida,Zamora,10249,55.090928,43.288660
Fernanda Mena,51,Glorieta de Isidoro Robles 758 Apt. 44 ,Ciudad,Jaén,39977,178.430414,81.6551985
Ramón Quesada Valcárcel,31,Urbanización Leocadia Paniagua 50 Apt. 68 ,Ceuta,Palencia,39440,130.305129,-42.5054045
Fortunata de Pallarès,62,Cuesta de Nacio Merino 17,Cuenca,Pontevedra,51964,-114.561956,32.7153295
Aitor Vallejo Pazos,60,Vial de Antonia Armengol 1 Apt. 47 ,Albacete,Alicante,22474,102.407754,-24.134509
Rosario Fuente Girón,80,Acceso Irma Pou 731 Puerta 8 ,León,Cuenca,13674,-75.715454,-43.7927175
Azucena África Aguirre Rios,23,Cañada de María Seguí 259,Burgos,Ceuta,40882,-85.296506,-0.988235
Rosalva Jove Quero,32,Alameda Régulo Villalba 41,Valladolid,Salamanca,19386,-149.780633,46.9699375
Jorge García-Castrillo,59,Pasaje de Quirino Cerezo 656,Córdoba,Las Palmas,49528,-158.964794,-4.6330995
Lorenza Martinez Lopez,59,Rambla Gloria Agullo 3,Lleida,Badajoz,47581,127.509927,-68.070736
Tito Rosales Mariscal,71,Acceso Régulo Grau 627,Palencia,Vizcaya,28214,-131.765425,58.2654245
Dominga Tejero-Blanch,52,Callejón de Selena Zabaleta 869,Salamanca,Ciudad,12301,9.067608,34.926898
Flavia de Pons,74,Glorieta Clemente Montaña 40 Puerta 4 ,Alicante,León,23128,-32.053769,19.9098625
Tatiana Vicens Zabala,76,Urbanización Ramona Gil 23,Ciudad,Santa Cruz de Tenerife,12086,4.598738,-50.3184605
Saturnina Pomares Zurita,19,Alameda de Victor Aguiló 37,Pontevedra,Santa Cruz de Tenerife,21693,140.793875,42.745499
Ovidio Barrio,65,Urbanización de Felisa Núñez 48,Alicante,Palencia,29709,-145.663580,44.6246095
Cecilio Sanz Fernández,52,Pasaje Joaquina Verdú 25 Apt. 86 ,La Rioja,Valencia,19558,-164.258266,-67.1491955
Alcides Iriarte Salazar,68,Paseo de Salomé Fuente 1 Piso 6 ,Soria,Barcelona,25146,39.503439,84.1803125
Natividad Vallés Orozco,41,Avenida Ámbar Cuadrado 67 Apt. 21 ,Valencia,Huelva,14015,115.473360,-17.381541
Alcides Alegria Barrios,71,Glorieta de Luz Merino 66 Piso 9 ,Castellón,La Coruña,08834,-93.462166,-22.8278095
Eladio Cruz Jerez Huerta,38,Ronda Heliodoro Lasa 17 Piso 5 ,Guadalajara,Granada,16518,-7.992128,-24.9444235
Jesús Moreno Carreño Tenorio,69,Alameda Palmira Ribes 8 Piso 3 ,Melilla,Madrid,23532,-112.796203,-75.9565285
Albert Querol,66,Avenida de Rosa María Mata 995,La Coruña,Melilla,45559,162.912733,-15.1463825
Angélica Rosales Santiago,36,Pasadizo de Mauricio Valbuena 41 Puerta 2 ,Cádiz,Cádiz,44600,155.142793,-35.2324085
Hilario Solana Llorens,49,C. de Calisto Arana 2,Asturias,León,13162,-176.793734,16.6790435
Elpidio Fajardo,46,Callejón Pía Gómez 4,Guadalajara,Lleida,46888,177.168627,-83.3634385
Rafa Alemán Conesa,52,Camino de Samuel Viana 57,Baleares,Segovia,17838,18.806708,-69.095516
Rolando Macías,30,Camino Gonzalo Coronado 4,Girona,Las Palmas,17553,41.017945,-9.399378
Azucena Bonet Taboada,34,Glorieta de Santiago Paredes 25 Apt. 37 ,Lleida,Alicante,25130,-65.429081,34.9056085
Godofredo Julián Bosch,40,Rambla Bruno Cuesta 3 Apt. 58 ,Salamanca,Badajoz,28063,-138.954961,-50.269792
Cosme del Tamayo,75,Plaza de Elodia Hervia 75 Apt. 89 ,Cantabria,Zaragoza,17896,-18.697374,47.289502
Calista Sierra Pérez,72,Camino Ximena Cuesta 31,Navarra,Vizcaya,26080,-160.311059,-13.6806825
Emelina Cepeda-Haro,33,Camino de Marcelino Avilés 3 Puerta 4 ,Asturias,Barcelona,38579,-10.470615,39.391743
Alejo Fabricio Busquets Luján,64,Urbanización Sancho Gámez 74 Piso 1 ,Guipúzcoa,Valencia,03301,80.642272,-30.195947
Severo Alcolea Fuente,53,Calle Jenny Tirado 56,Castellón,Murcia,24550,64.967020,50.874225
Teo Blanco Fuentes,27,Acceso Modesta Cabezas 163,Cádiz,Melilla,11150,-71.607179,-56.557028
Narcisa de Rodrigo,28,Ronda de Rufina Vicente 4 Piso 7 ,Alicante,Soria,18358,40.924072,-22.082769
Borja Amigó Andres,62,Ronda de Régulo Estevez 4,Málaga,Alicante,37882,30.508058,21.078160
Valentina Seco-Carvajal,61,Paseo de Eusebia Quintanilla 95,Valladolid,Lugo,04338,137.563877,65.0138585
Asunción Gaya Campillo,28,Cañada de Felicia Llorente 41 Piso 7 ,Cáceres,Málaga,07090,-133.362664,82.191340
Francisco Jose Villena,67,Urbanización de Leocadio Figueroa 88,Sevilla,Lugo,29224,-142.930614,36.1709085
Blas Solé Ferrández,74,Glorieta de Jerónimo Acedo 703 Apt. 62 ,Cáceres,Lugo,29982,18.654268,69.126642
Ema Bautista Calderón,76,Callejón de Dulce Sáenz 297 Piso 7 ,Baleares,La Coruña,48735,117.158874,-22.8641305
Bibiana Marin,37,Rambla Leonel Manso 25,Segovia,Toledo,05352,-131.030077,12.989010
Rubén de Laguna,53,Pasaje de Timoteo Córdoba 123,La Coruña,Ávila,47534,162.165327,-4.8367245
Yaiza Cabezas Agullo,64,Calle Benigna Girón 57,Salamanca,León,28468,35.441934,3.732145
Silvestre Losada Cifuentes,52,Callejón de Estela Vallejo 86 Apt. 93 ,Huelva,Valencia,23687,-113.322591,77.3842485
Gloria Feliu Cuervo,25,Glorieta de Carlito Barragán 375 Piso 8 ,Cuenca,Sevilla,07836,131.887348,87.5971155
Gregorio Calzada-Arregui,59,Glorieta Candela Piquer 59 Puerta 7 ,Navarra,Ávila,47013,29.318125,-71.3594975
José del Toledo,37,Camino de Casandra Quintanilla 830,Ceuta,Las Palmas,24286,78.092171,-45.3317795
Nuria Cifuentes,37,Avenida de Perla Vergara 1 Apt. 69 ,León,Albacete,51573,-147.019083,47.7577045
Marciano Bejarano Gallo,61,Vial Saturnina Arnau 28 Puerta 7 ,Badajoz,Albacete,46271,-81.320173,61.440153
Benito de Plaza,29,Via Alejo López 23,Álava,Granada,20760,113.667505,-22.2832915
Basilio Soler Bermudez,62,Urbanización de Nicolás Carretero 4,Teruel,Valencia,03044,-28.274230,29.732739
Ariadna Arregui-Guzmán,45,Avenida de Julia Téllez 2,La Rioja,Cantabria,46803,16.573192,-14.3302355
Dani Sabater Castell,48,Cañada Damián Iglesia 76 Apt. 04 ,Huelva,Salamanca,17219,-27.344672,29.194390
Esther del Gordillo,68,Pasaje Calixta Priego 5,Lugo,Navarra,21741,-146.343985,-88.5926675
Febe del Viña,45,Glorieta de Claudio Acedo 5 Piso 2 ,Salamanca,Ceuta,45326,-172.525085,-7.7273595
Ángeles Arco Guijarro,67,Calle de Matilde Torrijos 69 Apt. 98 ,Castellón,Huesca,42930,152.961020,23.078364
Mirta Viana Aznar,26,Glorieta de Sol Vila 46,Ávila,Lugo,18151,146.797024,-13.2978465
Luis Ángel Juanito Suarez Villalobos,65,Camino de Poncio Quero 148,Teruel,Segovia,05809,91.737390,35.492941
Leire Olmo,51,Pasadizo de Reina Trillo 51,Palencia,Burgos,11053,127.984900,89.5562245
Miguela Izquierdo Mulet,20,Acceso Oriana Zorrilla 9,Valladolid,Ciudad,49575,-83.222802,-29.1051535
Carmen Pujol Fuente,42,Cuesta Guadalupe Lorenzo 71 Piso 4 ,Melilla,Huelva,45351,23.177284,77.785211
Dorotea Marquez Méndez,55,Cuesta de Perla Rosa 56 Puerta 1 ,Ourense,Toledo,13621,-176.417424,-74.7964935
Cristina Palacios Diaz,47,Ronda de María Fernanda Valls 95,Girona,Baleares,44688,-164.225508,-5.8745415
Domitila Collado-Molina,55,Calle Baudelio Cerdán 54,Álava,Barcelona,35185,-169.132304,-28.756421
Yaiza Aitana Rius Valera,25,Rambla Lalo Beltrán 6 Puerta 2 ,Teruel,Santa Cruz de Tenerife,37836,58.873132,-9.1675445
Alba Olivera Vargas,68,Calle Cruz Larrea 31,Madrid,Albacete,40767,39.162120,35.1369335
Eutimio del Miró,58,Plaza Ainara Sáez 25,Salamanca,Girona,39373,66.148487,-63.157855
Prudencio Viña Palma,63,Acceso Tecla Ribera 70 Puerta 1 ,Cantabria,La Coruña,22090,-131.111355,10.2557135
